iter	Passed	Remaining
0	84	2549520
1	111	1676697
2	139	1392057
3	172	1296937
4	202	1212991
5	231	1155464
6	260	1117962
7	288	1082047
8	316	1054090
9	343	1029854
10	368	1005792
11	394	984621
12	419	968628
13	445	954043
14	471	942015
15	496	929764
16	521	920458
17	547	911964
18	572	903534
19	598	897506
20	624	891425
21	650	886329
22	676	881731
23	701	876449
24	727	872870
25	753	868901
26	780	866180
27	806	863025
28	832	860238
29	858	857310
30	884	855026
31	910	852857
32	936	850320
33	962	848030
34	988	846073
35	1014	844791
36	1033	836598
37	1044	823761
38	1061	815610
39	1087	814222
40	1113	813852
41	1139	813012
42	1165	811965
43	1191	811320
44	1216	810001
45	1242	809309
46	1272	810958
47	1300	811463
48	1327	811204
49	1354	811419
50	1381	811355
51	1407	810802
52	1433	809996
53	1459	809410
54	1485	808582
55	1511	808313
56	1537	807671
57	1561	806179
58	1585	804837
59	1611	804024
60	1637	803533
61	1662	802557
62	1673	795118
63	1699	794782
64	1716	790475
65	1741	789833
66	1766	789137
67	1792	788931
68	1818	788708
69	1845	789058
70	1871	788760
71	1896	788370
72	1922	787971
73	1948	787903
74	1974	787945
75	1987	782370
76	2012	781946
77	2036	781378
78	2062	781276
79	2089	781356
80	2115	781489
81	2141	781223
82	2166	781061
83	2192	780707
84	2218	780751
85	2244	780703
86	2269	780153
87	2294	780013
88	2319	779367
89	2344	779080
90	2370	778978
91	2394	778556
92	2420	778462
93	2446	778427
94	2472	778297
95	2486	774434
96	2511	774170
97	2536	774094
98	2563	774121
99	2587	773774
100	2613	773727
101	2637	773222
102	2648	768633
103	2672	768109
104	2698	768208
105	2724	768313
106	2751	768664
107	2775	768315
108	2801	768138
109	2827	768429
110	2854	768530
111	2878	768274
112	2904	768119
113	2927	767574
114	2952	767244
115	2977	767093
116	3002	766939
117	3026	766524
118	3051	766161
119	3076	765924
120	3101	765859
121	3126	765706
122	3151	765429
123	3175	765149
124	3200	764982
125	3225	764733
126	3249	764456
127	3275	764448
128	3300	764284
129	3325	764172
130	3350	763851
131	3374	763510
132	3398	763191
133	3422	762838
134	3446	762507
135	3471	762323
136	3496	762123
137	3513	760383
138	3526	757675
139	3550	757326
140	3575	757081
141	3599	756917
142	3624	756731
143	3637	754195
144	3661	753919
145	3686	753822
146	3710	753525
147	3735	753546
148	3761	753590
149	3786	753479
150	3811	753504
151	3836	753439
152	3863	753716
153	3889	753737
154	3916	754130
155	3931	752086
156	3957	752240
157	3984	752511
158	4009	752413
159	4034	752520
160	4060	752505
161	4085	752520
162	4111	752548
163	4136	752568
164	4161	752486
165	4187	752534
166	4212	752553
167	4238	752635
168	4264	752668
169	4289	752696
170	4314	752560
171	4339	752613
